,Fecha,Región,Generación Neta MW,Demanda Neta MW,Diferencia MW
0,02-08-2023 00_46_06,Baja California,2419.0,2445.0,-26.0
1,02-08-2023 00_46_06,Baja California Sur,593.0,582.0,11.0
2,02-08-2023 00_46_06,CENTRAL,3913.0,5876.0,-1963.0
3,02-08-2023 00_46_06,NORESTE,12425.0,9887.0,2538.0
4,02-08-2023 00_46_06,NOROESTE,4779.0,4748.0,31.0
5,02-08-2023 00_46_06,NORTE,4143.0,4408.0,-265.0
6,02-08-2023 00_46_06,OCCIDENTAL,6115.0,8805.0,-2690.0
7,02-08-2023 00_46_06,ORIENTAL,10042.0,6865.0,3177.0
8,02-08-2023 00_46_06,PENINSULAR,1343.0,2219.0,-876.0
9,02-08-2023 00_46_06,S.I. NACIONAL,42766.0,42816.0,-50.0
10,02-08-2023 01_24_21,Baja California,2265.0,2386.0,-121.0
11,02-08-2023 01_24_21,Baja California Sur,578.0,568.0,10.0
12,02-08-2023 01_24_21,CENTRAL,4238.0,5945.0,-1707.0
13,02-08-2023 01_24_21,NORESTE,12682.0,9729.0,2953.0
14,02-08-2023 01_24_21,NOROESTE,4734.0,4603.0,131.0
15,02-08-2023 01_24_21,NORTE,4112.0,4366.0,-254.0
16,02-08-2023 01_24_21,OCCIDENTAL,6013.0,8617.0,-2604.0
17,02-08-2023 01_24_21,ORIENTAL,8996.0,6834.0,2162.0
18,02-08-2023 01_24_21,PENINSULAR,1333.0,2152.0,-819.0
19,02-08-2023 01_24_21,S.I. NACIONAL,42107.0,42248.0,-141.0
20,02-08-2023 09_26_50,Baja California,2398.0,2423.0,-25.0
21,02-08-2023 09_26_50,Baja California Sur,515.0,499.0,16.0
22,02-08-2023 09_26_50,CENTRAL,3715.0,6954.0,-3239.0
23,02-08-2023 09_26_50,NORESTE,10301.0,9115.0,1186.0
24,02-08-2023 09_26_50,NOROESTE,4532.0,4017.0,515.0
25,02-08-2023 09_26_50,NORTE,5513.0,4558.0,955.0
26,02-08-2023 09_26_50,OCCIDENTAL,7549.0,9532.0,-1983.0
27,02-08-2023 09_26_50,ORIENTAL,9829.0,6411.0,3418.0
28,02-08-2023 09_26_50,PENINSULAR,1471.0,2016.0,-545.0
29,02-08-2023 09_26_50,S.I. NACIONAL,42914.0,42621.0,293.0
30,02-08-2023 10_58_51,Baja California,2495.0,2638.0,-143.0
31,02-08-2023 10_58_51,Baja California Sur,550.0,536.0,14.0
32,02-08-2023 10_58_51,CENTRAL,3762.0,7150.0,-3388.0
33,02-08-2023 10_58_51,NORESTE,11154.0,9362.0,1792.0
34,02-08-2023 10_58_51,NOROESTE,4576.0,4331.0,245.0
35,02-08-2023 10_58_51,NORTE,5832.0,4659.0,1173.0
36,02-08-2023 10_58_51,OCCIDENTAL,7639.0,9702.0,-2063.0
37,02-08-2023 10_58_51,ORIENTAL,9890.0,6848.0,3042.0
38,02-08-2023 10_58_51,PENINSULAR,1512.0,2047.0,-535.0
39,02-08-2023 10_58_51,S.I. NACIONAL,44366.0,44101.0,265.0
40,02-08-2023 10_58_51,Baja California,2495.0,2638.0,-143.0
41,02-08-2023 10_58_51,Baja California Sur,550.0,536.0,14.0
42,02-08-2023 10_58_51,CENTRAL,3762.0,7150.0,-3388.0
43,02-08-2023 10_58_51,NORESTE,11154.0,9362.0,1792.0
44,02-08-2023 10_58_51,NOROESTE,4576.0,4331.0,245.0
45,02-08-2023 10_58_51,NORTE,5832.0,4659.0,1173.0
46,02-08-2023 10_58_51,OCCIDENTAL,7639.0,9702.0,-2063.0
47,02-08-2023 10_58_51,ORIENTAL,9890.0,6848.0,3042.0
48,02-08-2023 10_58_51,PENINSULAR,1512.0,2047.0,-535.0
49,02-08-2023 10_58_51,S.I. NACIONAL,44366.0,44101.0,265.0
50,02-08-2023 10_58_51,Baja California,2495.0,2638.0,-143.0
51,02-08-2023 10_58_51,Baja California Sur,550.0,536.0,14.0
52,02-08-2023 10_58_51,CENTRAL,3762.0,7150.0,-3388.0
53,02-08-2023 10_58_51,NORESTE,11154.0,9362.0,1792.0
54,02-08-2023 10_58_51,NOROESTE,4576.0,4331.0,245.0
55,02-08-2023 10_58_51,NORTE,5832.0,4659.0,1173.0
56,02-08-2023 10_58_51,OCCIDENTAL,7639.0,9702.0,-2063.0
57,02-08-2023 10_58_51,ORIENTAL,9890.0,6848.0,3042.0
58,02-08-2023 10_58_51,PENINSULAR,1512.0,2047.0,-535.0
59,02-08-2023 10_58_51,S.I. NACIONAL,44366.0,44101.0,265.0
60,02-08-2023 11_00_31,Baja California,2495.0,2638.0,-143.0
61,02-08-2023 11_00_31,Baja California Sur,550.0,536.0,14.0
62,02-08-2023 11_00_31,CENTRAL,3762.0,7150.0,-3388.0
63,02-08-2023 11_00_31,NORESTE,11154.0,9362.0,1792.0
64,02-08-2023 11_00_31,NOROESTE,4576.0,4331.0,245.0
65,02-08-2023 11_00_31,NORTE,5832.0,4659.0,1173.0
66,02-08-2023 11_00_31,OCCIDENTAL,7639.0,9702.0,-2063.0
67,02-08-2023 11_00_31,ORIENTAL,9890.0,6848.0,3042.0
68,02-08-2023 11_00_31,PENINSULAR,1512.0,2047.0,-535.0
69,02-08-2023 11_00_31,S.I. NACIONAL,44366.0,44101.0,265.0
